Id,FileName,Title,Camera,Lens,ExposureTime,AperturValue,ExposureProgram,Iso,DateTaken,FocalLength,Orientation,Height,Width,UseInMontage,CountryId,CategoryId,PaletteId
354,IMG_8585.jpg,,Canon EOS 40D,,1/250 sec,f/8.0,Aperture priority,400,2011-05-21 11:07:42,340 mm,1,1512,1008,True,,,
355,IMG_8586.jpg,,Canon EOS 40D,,0.05 sec,f/5.6,Aperture priority,200,2009-01-24 16:25:45,350 mm,1,1512,1008,True,,,
356,IMG_8589.jpg,,Canon EOS 40D,,1/500 sec,f/7.1,Aperture priority,400,2008-02-16 12:02:12,400 mm,1,1512,1008,True,,,
357,IMG_8630.jpg,,Canon EOS 40D,,1/200 sec,f/5.6,Aperture priority,800,2009-01-24 18:13:02,340 mm,0,1008,1512,True,,,
358,IMG_8648.jpg,,Canon EOS 40D,,1/1000 sec,f/9.0,Aperture priority,400,2011-05-21 12:28:30,300 mm,1,1512,1008,True,,,
359,IMG_8675.jpg,,Canon EOS 40D,,1/500 sec,f/9.0,Aperture priority,400,2011-09-25 08:57:40,350 mm,1,1512,1008,True,,,
360,IMG_8718_2.jpg,,Canon EOS 40D,,1/2500 sec,f/5.6,Aperture priority,400,2008-02-17 10:30:13,400 mm,1,1512,1008,True,,,
361,IMG_8731.jpg,,Canon EOS 40D,,0.04 sec,f/6.3,Aperture priority,800,2009-07-19 18:58:41,340 mm,0,1008,1512,True,,,
362,IMG_8734.jpg,,Canon EOS 40D,,1/400 sec,f/6.3,Aperture priority,400,2011-06-04 10:11:13,360 mm,1,1512,1008,True,,,
363,IMG_8738.jpg,,Canon EOS 40D,,1/1000 sec,f/5.6,Aperture priority,200,2008-09-20 16:37:14,350 mm,1,1512,1008,True,,,
364,IMG_8765.jpg,,Canon EOS 40D,,1/80 sec,f/14.0,Aperture priority,400,2009-07-20 10:12:02,340 mm,2,1008,1008,True,,,
365,IMG_8781.jpg,,Canon EOS 40D,,1/400 sec,f/8.0,Aperture priority,400,2011-06-04 13:37:35,340 mm,1,1512,1008,True,,,
366,IMG_8798.jpg,,Canon EOS 40D,,1/160 sec,f/5.6,Aperture priority,200,2011-10-15 11:27:17,350 mm,0,1008,1512,True,,,
367,IMG_8849.jpg,,Canon EOS 40D,,1/800 sec,f/8.0,Aperture priority,100,2011-06-11 09:16:11,350 mm,0,1008,1512,True,,,
368,IMG_8865.jpg,,Canon EOS 40D,,1/400 sec,f/7.1,Aperture priority,100,2009-02-07 18:58:18,350 mm,1,1512,1008,True,,,
369,IMG_8904.jpg,,Canon EOS 40D,,1/2000 sec,f/5.6,Aperture priority,800,2008-05-09 19:01:23,350 mm,0,1008,1512,True,,,
370,IMG_8927.jpg,,Canon EOS 40D,,1/640 sec,f/6.3,Aperture priority,400,2009-02-07 20:25:17,350 mm,1,1512,1008,True,,,
371,IMG_8969.jpg,,Canon EOS 40D,,1/1600 sec,f/5.6,Aperture priority,400,2008-03-02 09:44:23,390 mm,0,1008,1512,True,,,
372,IMG_8985.jpg,,Canon EOS 40D,,0.01 sec,f/7.1,Aperture priority,400,2011-06-11 15:35:06,350 mm,1,1512,1008,True,,,
373,IMG_9007.jpg,Redkite,Canon EOS 40D,,1/800 sec,f/6.3,Aperture priority,400,2008-05-11 09:03:45,340 mm,0,1008,1512,True,1,3,1
374,IMG_9069.jpg,,Canon EOS 40D,,1/800 sec,f/5.6,Aperture priority,400,2011-06-19 08:52:40,350 mm,1,1512,1008,True,,,
375,IMG_9077.jpg,,Canon EOS 40D,,1/125 sec,f/5.7,Aperture priority,1600,2007-09-22 16:52:27,370 mm,1,1512,1008,True,,,
376,IMG_9105.jpg,,Canon EOS 40D,,1/800 sec,f/5.6,Aperture priority,400,2011-06-19 08:55:29,350 mm,0,1008,1512,True,,,
377,IMG_9115.jpg,,Canon EOS 40D,,1/6400 sec,f/5.6,Aperture priority,400,2008-03-29 09:51:19,400 mm,0,1008,1512,True,,,
378,IMG_9159.jpg,,Canon EOS 40D,,1/500 sec,f/5.6,Aperture priority,200,2012-02-04 10:56:38,360 mm,0,1008,1512,True,,,
379,IMG_9169.jpg,,Canon EOS 40D,,1/1600 sec,f/5.6,Aperture priority,200,2011-06-19 09:35:03,350 mm,0,1008,1512,True,,,
380,IMG_9187.jpg,,Canon EOS 40D,,1/640 sec,f/5.6,Aperture priority,200,2009-09-11 08:51:09,340 mm,0,1008,1512,True,,,
381,IMG_9215.jpg,,Canon EOS 40D,,1/800 sec,f/6.3,Aperture priority,400,2008-01-06 14:55:48,400 mm,0,1008,1512,True,,,
382,IMG_9303.jpg,,Canon EOS 40D,,1/800 sec,f/5.6,Aperture priority,200,2011-07-03 18:04:53,360 mm,0,1008,1512,True,,,
383,IMG_9331.jpg,,Canon EOS 40D,,0.01 sec,f/20.0,Aperture priority,200,2009-03-08 17:02:59,40 mm,0,1000,1500,True,,,
384,IMG_9347.jpg,,Canon EOS 40D,EF70-300mm f/4.5-5.6 DO IS USM,1/1250 sec,f/9.0,Aperture priority,200,2009-03-08 17:08:47,300 mm,2,1500,1500,True,,,
385,IMG_9354.jpg,,Canon EOS 40D,,1/2000 sec,f/6.3,Aperture priority,400,2012-05-05 10:22:05,350 mm,1,1512,1008,True,,,
386,IMG_9464.jpg,,Canon EOS 40D,,0.01 sec,f/8.0,Aperture priority,400,2011-07-05 08:53:28,360 mm,0,1008,1512,True,,,
387,IMG_9478.jpg,,Canon EOS 40D,,1/8000 sec,f/9.0,Aperture priority,800,2008-01-12 14:40:47,400 mm,0,1008,1512,True,,,
388,IMG_9495.jpg,,Canon EOS 40D,,1/400 sec,f/5.6,Aperture priority,800,2012-06-23 14:32:47,360 mm,1,1512,1008,True,,,
389,IMG_9524.jpg,,Canon EOS 40D,,1/160 sec,f/7.1,Aperture priority,400,2011-07-05 10:06:16,360 mm,1,1512,1008,True,,,
390,IMG_9557.jpg,,Canon EOS 40D,,1/640 sec,f/6.3,Aperture priority,200,2008-04-06 12:47:27,400 mm,1,1512,1008,True,,,
